Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
515.	"L07-L08"	(-8761.63 -13408.08)
516.	"L04-L05"	(-8500.0 -13294.94)
517.	"L06-L07"	(-8500.0 -13294.94)
518.	"L08-L09"	(-8510.61 -13220.69)
519.	"L09-L10"	(-8500.0 -13118.16)
520.	"L09-L10"	(-8881.84 -13500.0)
521.	"L07-L08"	(-8591.92 -13761.63)
522.	"L02-L03"	(-8705.06 -13500.0)
523.	"L01-L02"	(-8633.64 -13571.42)
524.	"L03-L04"	(-8633.64 -13571.42)
525.	"L04-L05"	(-8705.06 -13500.0)
526.	"L06-L07"	(-8500.0 -13705.06)
527.	"L03-L04"	(-8428.58 -13776.48)
528.	"L04-L05"	(-8500.0 -13705.06)
529.	"SMALL_PTH"	(-8500.0 -13500.0)
530.	"L04-L05"	(-8294.94 -13500.0)
531.	"L02-L03"	(-8294.94 -13500.0)
532.	"L01-L02"	(-8428.58 -13776.48)
533.	"L02-L03"	(-8500.0 -13705.06)
534.	"L06-L07"	(-8294.94 -13500.0)
535.	"L08-L09"	(-8485.86 -13775.77)
536.	"L09-L10"	(-8500.0 -13881.84)
537.	"L06-L07"	(-8705.06 -13500.0)
538.	"L08-L09"	(-8779.31 -13510.61)
539.	"L07-L08"	(-8408.08 -13238.37)
540.	"L02-L03"	(-8500.0 -13294.94)
541.	"L01-L02"	(-8428.58 -13366.36)
542.	"L03-L04"	(-8428.58 -13366.36)
543.	"L08-L09"	(-9310.0 -14295.0)
544.	"L09-L10"	(-9230.0 -14230.0)
