Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_ucie64b_rxdata[2],75.64,934.78,R0,ma_ucie64b_rxdata[2],ma_ucie64b_rxdata[2]
UBUMP,ma_ucie64b_rxdata[18],139.28,934.78,R0,ma_ucie64b_rxdata[18],ma_ucie64b_rxdata[18]
UBUMP,ma_ucie64b_rxckRD,202.92,934.78,R0,ma_ucie64b_rxckRD,ma_ucie64b_rxckRD
UBUMP,ma_ucie64b_rxdata[39],266.56,934.78,R0,ma_ucie64b_rxdata[39],ma_ucie64b_rxdata[39]
UBUMP,ma_ucie64b_rxdata[55],330.2,934.78,R0,ma_ucie64b_rxdata[55],ma_ucie64b_rxdata[55]
UBUMP,ma_vss_34,43.82,966.6,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[9],107.46,966.6,R0,ma_ucie64b_rxdata[9],ma_ucie64b_rxdata[9]
UBUMP,ma_ucie64b_rxdata[25],171.1,966.6,R0,ma_ucie64b_rxdata[25],ma_ucie64b_rxdata[25]
UBUMP,ma_vccio_25,234.74,966.6,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[46],298.38,966.6,R0,ma_ucie64b_rxdata[46],ma_ucie64b_rxdata[46]
UBUMP,ma_ucie64b_rxdata[61],362.02,966.6,R0,ma_ucie64b_rxdata[61],ma_ucie64b_rxdata[61]
UBUMP,ma_gpio[0],12,998.42,R0,ma_gpio[0],ma_gpio[0]
UBUMP,ma_vss_35,75.64,998.42,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[17],139.28,998.42,R0,ma_ucie64b_rxdata[17],ma_ucie64b_rxdata[17]
UBUMP,ma_vss_36,202.92,998.42,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[38],266.56,998.42,R0,ma_ucie64b_rxdata[38],ma_ucie64b_rxdata[38]
UBUMP,ma_ucie64b_rxdata[54],330.2,998.42,R0,ma_ucie64b_rxdata[54],ma_ucie64b_rxdata[54]
UBUMP,ma_vccio_26,43.82,1030.24,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[10],107.46,1030.24,R0,ma_ucie64b_rxdata[10],ma_ucie64b_rxdata[10]
UBUMP,ma_ucie64b_rxdata[26],171.1,1030.24,R0,ma_ucie64b_rxdata[26],ma_ucie64b_rxdata[26]
UBUMP,ma_ucie64b_rxdataRD[2],234.74,1030.24,R0,ma_ucie64b_rxdataRD[2],ma_ucie64b_rxdataRD[2]
UBUMP,ma_ucie64b_rxdata[47],298.38,1030.24,R0,ma_ucie64b_rxdata[47],ma_ucie64b_rxdata[47]
UBUMP,ma_ucie64b_rxdata[62],362.02,1030.24,R0,ma_ucie64b_rxdata[62],ma_ucie64b_rxdata[62]
UBUMP,ma_vss_37,12,1062.06,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[1],75.64,1062.06,R0,ma_ucie64b_rxdata[1],ma_ucie64b_rxdata[1]
UBUMP,ma_ucie64b_rxdata[16],139.28,1062.06,R0,ma_ucie64b_rxdata[16],ma_ucie64b_rxdata[16]
UBUMP,ma_ucie64b_rxdataRD[1],202.92,1062.06,R0,ma_ucie64b_rxdataRD[1],ma_ucie64b_rxdataRD[1]
UBUMP,ma_ucie64b_rxdata[37],266.56,1062.06,R0,ma_ucie64b_rxdata[37],ma_ucie64b_rxdata[37]
UBUMP,ma_ucie64b_rxdata[53],330.2,1062.06,R0,ma_ucie64b_rxdata[53],ma_ucie64b_rxdata[53]
UBUMP,ma_vccio_27,43.82,1093.88,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[11],107.46,1093.88,R0,ma_ucie64b_rxdata[11],ma_ucie64b_rxdata[11]
UBUMP,ma_ucie64b_rxdata[27],171.1,1093.88,R0,ma_ucie64b_rxdata[27],ma_ucie64b_rxdata[27]
UBUMP,ma_ucie64b_rxdata[32],234.74,1093.88,R0,ma_ucie64b_rxdata[32],ma_ucie64b_rxdata[32]
